entity_code,EAD,booking_date,internal_comment,industry,LGD,PD
A-W20E3T,26938874.397447303,,legacy,Industry A,0.5677193578394526,0.0071667077953435
A-ZL3UTG,31154443.006722443,,review,Industry A,0.4557703606171095,0.0173525364546809
A-H8WKWS,36314076.04037352,,,Industry A,0.3976169843656488,0.0222303610074104
A-5CRVMF,14540527.40955621,,,Industry A,0.371051433725741,0.0187736107702894
A-89F6D0,8875349.051019402,,new,Industry A,0.4405089339112094,0.0214291306980127
A-SE4QSN,38461633.08329202,,check formatting,Industry A,0.4552824558048973,0.0256362060348401
A-7Y1UPH,10404808.080774983,,,Industry A,0.523272203388481,0.0133680364113021
A-2NTLLF,11918344.378912384,,check formatting,Industry A,0.5299859397528236,0.0147073195901079
A-0E88G2,15196530.8745463,,review,Industry A,0.5010027048718158,0.0165053478571062
A-GT87M2,23528697.39092006,,,Industry A,0.4181368128700046,0.0266448029521849
A-YDGV2G,35898894.811192736,,review,Industry A,0.4188152157475385,0.0131165692622184
A-C36F0G,31619110.795545343,,check formatting,Industry A,0.361436345436521,0.0155263649052208
A-UQSUBF,29785514.38449223,,check formatting,Industry A,0.3807335107445405,0.0248413917729574
A-RX0P71,11131319.874960128,,check formatting,Industry A,0.5354777244791231,0.0211643901006858
A-TR3J8L,,,review,Industry A,0.4010322560752153,0.019296045567918
A-Y21HNQ,21744172.413033728,,,Industry A,0.483018608927679,0.0221541050150394
A-VZS47E,10159908.371995503,,legacy,Industry A,0.5100695190985008,0.029103230788234
A-QIMT1V,,,review,Industry A,0.6268833568473738,0.0173528028631696
A-FVDXWD,15791662.138349548,,,Industry A,0.4675997347177412,0.0267959378762021
A-W69IIB,9454666.941516371,,new,Industry A,0.6202775785948131,0.021967849183781
A-ZVBDSW,24258389.216789015,,,Industry A,0.5424249628885357,0.0230438073611222
A-IJCFPR,29675986.878346752,,new,Industry A,0.5881880171331348,0.0123306929754193
A-0172SR,7447607.101690142,,review,Industry A,0.4027117259847115,0.0229545316139667
A-PNGYIK,21839308.56171024,,review,Industry A,0.4966124193590165,0.0286615580270497
A-9XOOP3,32377391.834372822,,review,Industry A,0.4209556922747943,0.0180913105300083
A-03PK8Q,31179654.51333564,,review,Industry A,0.4851709284813595,0.0226209392140638
A-RSPF7A,33527558.367656395,,review,Industry A,0.4572467925521397,0.0232196939663842
A-FKUFQE,20688422.160971247,,,Industry A,0.4286890007992836,0.0211608494481312
A-FKUFQE,20688422.160971247,,,Industry A,0.4286890007992836,0.0211608494481312
A-O7YD44,33719497.892395124,,review,Industry A,0.3611655452468417,0.0176423759627502
A-DT5C43,13426357.492499432,,review,Industry A,0.4352110109163791,0.0165953522779802
A-H8WKWS,36314076.04037352,,,Industry A,0.3976169843656488,0.0222303610074104
