entity_code,EAD,booking_date,internal_comment,industry,LGD,PD
A-ZVBDSW,31001720.84503288,,legacy,Industry A,0.5424249628885357,0.0230438073611222
A-OL6NCQ,13297172.694463212,,check formatting,Industry A,0.44088420338761,0.0157992176151873
A-PEJ45W,34041246.854371905,,review,Industry A,0.47283525511753,0.0177115028452158
A-0172SR,24102940.00088122,,check formatting,Industry A,0.4027117259847115,0.0229545316139667
A-DT5C43,31614758.981461614,,check formatting,Industry A,0.4352110109163791,0.0165953522779802
A-FVDXWD,21539459.41679,,check formatting,Industry A,0.4675997347177412,0.0267959378762021
A-0E88G2,22471797.889777817,,review,Industry A,0.5010027048718158,0.0165053478571062
A-VZS47E,,,,Industry A,0.5100695190985008,0.029103230788234
A-TR3J8L,37478971.28580385,,check formatting,Industry A,0.4010322560752153,0.019296045567918
A-Y21HNQ,22213440.349451847,,legacy,Industry A,0.483018608927679,0.0221541050150394
B-0T5M74,23503013.833790183,,new,Industry B,0.5296418000808659,0.0492455131191174
B-WMAEKB,26069893.72346353,,legacy,Industry B,0.4479411587144589,0.0406882090142755
B-TZJXP7,30813029.8054204,,,Industry B,0.4868862469796655,0.037441431258324
B-O2NB6I,7514761.7420182,,review,Industry B,0.4559347578430257,0.0352247537177965
B-MUVZTX,23049060.348269023,,new,Industry B,0.5619171116975393,0.0326251906128119
B-QFZFP4,21855705.622211523,,review,Industry B,0.4029850480348587,0.028786130409998
B-IOC2XD,,,new,Industry B,0.4363384716897764,0.0387879212756317
B-QF30BG,22272730.31527194,,review,Industry B,0.5803585019378602,0.0470453888181618
B-JS2LBB,21391218.714301582,,,Industry B,0.4943045458786471,0.0423442153500894
B-4Z0VCO,,,,Industry B,0.6847825012956046,0.0337807908633653
B-TWSM8S,20770176.226030856,,review,Industry B,0.5091520178173208,0.0390654396673085
B-BN8BND,11330955.06127316,,,Industry B,0.357626556460094,0.0381242550328014
B-JI444W,12592064.298202593,,,Industry B,0.4746622431051985,0.0338857059003395
B-KVE4NM,8331563.841794094,,,Industry B,0.448622896022981,0.0287784188073835
B-7PFB78,5019884.524063055,,check formatting,Industry B,0.4217583666038554,0.0187575079132969
B-TB1OZ6,,,legacy,Industry B,0.3959413947487566,0.0181105376834935
B-TB1OZ6,,,legacy,Industry B,0.3959413947487566,0.0181105376834935
B-J2ILS4,31923490.34543775,,review,Industry B,0.5612485910550065,0.039659096654194
B-9KROIO,30671325.497994255,,legacy,Industry B,,
B-FVUAOK,6125218.073099757,,review,Industry B,0.5189843392837443,0.0248162426031954
B-I67BWI,24949401.62579115,,new,Industry B,0.4461228682382256,0.0430346886251349
B-3C5B0M,10399909.38947166,,review,Industry B,0.4443808041150874,0.0260411132965198
B-ZWRIDU,37937669.966764405,,new,Industry B,0.5091561882080035,0.0356932437470504
B-VQT2JW,10857774.987546274,,,Industry B,0.5361921853928844,0.0442446315886971
B-WWOGAM,,,check formatting,Industry B,0.4840351692577983,0.030429586987347
B-JRBLOP,16418342.675741987,,check formatting,Industry B,0.397771971835267,0.0343267474415366
B-AAFB3V,27454646.40875233,,review,Industry B,0.3517814602557179,0.0186646871610618
B-6KZVQO,19429050.87624263,,new,Industry B,0.4810076158977743,0.027206283706547
B-PL1YFZ,31587506.830723815,,legacy,Industry B,0.5099477473015739,0.0343972954372526
B-4H8VVL,13073769.386475025,,,Industry B,,
B-GFVBLE,36702714.851999104,,,Industry B,0.515811908490511,0.0404443717235944
B-QF30BG,22272730.31527194,,review,Industry B,0.5803585019378602,0.0470453888181618
