entity_code,EAD,booking_date,internal_comment
A-ZVBDSW,31001720.84503288,,legacy
A-OL6NCQ,13297172.694463212,,check formatting
A-PEJ45W,34041246.854371905,,review
A-0172SR,24102940.00088122,,check formatting
A-DT5C43,31614758.981461614,,check formatting
A-FVDXWD,21539459.41679,,check formatting
A-0E88G2,22471797.889777817,,review
A-VZS47E,,,
A-TR3J8L,37478971.28580385,,check formatting
A-Y21HNQ,22213440.349451847,,legacy
B-0T5M74,23503013.833790183,,new
B-WMAEKB,26069893.72346353,,legacy
B-TZJXP7,30813029.8054204,,
B-O2NB6I,7514761.7420182,,review
B-MUVZTX,23049060.348269023,,new
B-QFZFP4,21855705.622211523,,review
B-IOC2XD,,,new
B-QF30BG,22272730.31527194,,review
B-JS2LBB,21391218.714301582,,
B-4Z0VCO,,,
B-TWSM8S,20770176.226030856,,review
B-BN8BND,11330955.06127316,,
B-JI444W,12592064.298202593,,
B-KVE4NM,8331563.841794094,,
B-7PFB78,5019884.524063055,,check formatting
B-TB1OZ6,,,legacy
B-J2ILS4,31923490.34543775,,review
B-9KROIO,30671325.497994255,,legacy
B-FVUAOK,6125218.073099757,,review
B-I67BWI,24949401.62579115,,new
B-3C5B0M,10399909.38947166,,review
B-ZWRIDU,37937669.966764405,,new
B-VQT2JW,10857774.987546274,,
B-WWOGAM,,,check formatting
B-JRBLOP,16418342.675741987,,check formatting
B-AAFB3V,27454646.40875233,,review
B-6KZVQO,19429050.87624263,,new
B-PL1YFZ,31587506.830723815,,legacy
B-4H8VVL,13073769.386475025,,
B-GFVBLE,36702714.851999104,,
B-QF30BG,22272730.31527194,,review
