entity_code,EAD,booking_date,internal_comment
A-W20E3T,26938874.397447303,,legacy
A-ZL3UTG,31154443.006722443,,review
A-H8WKWS,36314076.04037352,,
A-5CRVMF,14540527.40955621,,
A-89F6D0,8875349.051019402,,new
A-SE4QSN,38461633.08329202,,check formatting
A-7Y1UPH,10404808.080774983,,
A-2NTLLF,11918344.378912384,,check formatting
A-0E88G2,15196530.8745463,,review
A-GT87M2,23528697.39092006,,
A-YDGV2G,35898894.811192736,,review
A-C36F0G,31619110.795545343,,check formatting
A-UQSUBF,29785514.38449223,,check formatting
A-RX0P71,11131319.874960128,,check formatting
A-TR3J8L,,,review
A-Y21HNQ,21744172.413033728,,
A-VZS47E,10159908.371995503,,legacy
A-QIMT1V,,,review
A-FVDXWD,15791662.138349548,,
A-W69IIB,9454666.941516371,,new
A-ZVBDSW,24258389.216789015,,
A-IJCFPR,29675986.878346752,,new
A-0172SR,7447607.101690142,,review
A-PNGYIK,21839308.56171024,,review
A-9XOOP3,32377391.834372822,,review
A-03PK8Q,31179654.51333564,,review
A-RSPF7A,33527558.367656395,,review
A-FKUFQE,20688422.160971247,,
A-O7YD44,33719497.892395124,,review
A-DT5C43,13426357.492499432,,review
A-H8WKWS,36314076.04037352,,
