portfolio,entity_code_clean,entity_name,industry_clean,region_clean,size_bucket,EAD_clean,LGD_clean,PD_clean,historical_pd,booking_date_clean
Portfolio 3,A-0172SR,Company_A_45,Industry A,Europe,Small,24102940.00088122,0.4027117259847115,0.0229545316139667,0.0,2025-10-08
Portfolio 3,A-0E88G2,Company_A_43,Industry A,Asia,Large,22471797.889777817,0.5010027048718158,0.0165053478571062,0.0,2025-05-14
Portfolio 3,A-DT5C43,Company_A_03,Industry A,Asia,Large,31614758.98146161,0.4352110109163791,0.0165953522779802,0.0,2025-07-02
Portfolio 3,A-FVDXWD,Company_A_16,Industry A,South America,Small,21539459.41679,0.4675997347177412,0.0267959378762021,0.0,2025-11-12
Portfolio 3,A-OL6NCQ,Company_A_05,Industry A,South America,,13297172.694463212,0.44088420338761,0.0157992176151873,0.0,2025-07-02
Portfolio 3,A-PEJ45W,Company_A_49,Industry A,Europe,Small,34041246.854371905,0.4557703606171095,0.0177115028452158,0.05,2025-02-26
Portfolio 3,A-TR3J8L,Company_A_19,Industry A,North America,Large,37478971.28580385,0.4010322560752153,0.019296045567918,0.0,2025-10-22
Portfolio 3,A-VZS47E,Company_A_42,Industry A,South America,Small,22471797.889777817,0.5100695190985008,0.029103230788234,0.1,2025-12-31
Portfolio 3,A-Y21HNQ,Company_A_04,Industry A,Asia,Mid,22213440.349451847,0.483018608927679,0.0221541050150394,0.0,2025-03-19
Portfolio 3,A-ZVBDSW,Company_A_44,Industry A,Europe,Mid,31001720.84503288,0.5424249628885357,0.0230438073611222,0.0,2025-12-17
Portfolio 3,B-0T5M74,Company_B_21,Industry B,Asia,Mid,23503013.833790183,0.5296418000808659,0.0492455131191174,0.1,2025-09-24
Portfolio 3,B-3C5B0M,Company_B_49,Industry B,Asia,Mid,10399909.38947166,0.4443808041150874,0.0260411132965198,0.0,2025-04-30
Portfolio 3,B-4H8VVL,Company_B_10,Industry B,,Small,13073769.386475025,0.4706808413351238,0.0485606181370066,0.1,2025-12-10
Portfolio 3,B-4Z0VCO,Company_B_34,Industry B,Asia,Mid,22471797.889777817,0.6847825012956046,0.0337807908633653,0.0,2025-12-31
