portfolio,entity_code_clean,entity_name,industry_clean,region_clean,size_bucket,EAD_clean,LGD_clean,PD_clean,historical_pd,booking_date_clean
Portfolio 2,B-0T5M74,Company_B_21,Industry B,Asia,Mid,34784899.20182575,0.5296418000808659,0.0492455131191174,0.1,2025-10-01
Portfolio 2,B-3C5B0M,Company_B_49,Industry B,Asia,Mid,18828564.31417618,0.4443808041150874,0.0260411132965198,0.0,2025-12-31
Portfolio 2,B-4Z0VCO,Company_B_34,Industry B,Asia,Mid,9490264.047889208,0.6847825012956046,0.0337807908633653,0.0,2025-10-22
Portfolio 2,B-5BIIQF,Company_B_02,Industry B,South America,Mid,12968140.137972496,0.493086206527386,0.034608127750787795,0.1,2025-09-03
Portfolio 2,B-6KZVQO,Company_B_32,Industry B,Europe,Small,31598840.929525554,0.4810076158977743,0.027206283706547,0.15,2025-04-30
Portfolio 2,B-91X6SZ,Company_B_25,Industry B,Asia,Small,28577598.571098864,0.470622107984787,0.0274950688500119,0.05,2025-12-17
Portfolio 2,B-9KROIO,Company_B_42,Industry B,,Small,26662073.341073405,0.5701663648089567,0.0277544532017155,0.05,2025-03-05
Portfolio 2,B-CKUMRG,Company_B_14,Industry B,North America,Large,35359823.88189043,0.3168593915784876,0.0326507484231694,0.1,2025-07-09
Portfolio 2,B-CUJ2V2,Company_B_38,Industry B,North America,Mid,32401684.59601034,0.5625085201248153,0.0437620750599563,0.0,2025-10-22
Portfolio 2,B-CWABH5,Company_B_06,Industry B,Asia,Small,33717708.035051145,0.5928296991568485,0.0307649950103388,0.05,2025-12-31
Portfolio 2,B-FVUAOK,Company_B_24,Industry B,Europe,Mid,12382703.597104952,0.5189843392837443,0.0248162426031954,0.05,2025-04-02
Portfolio 2,B-HVWXAK,Company_B_37,Industry B,South America,Large,22600622.79431236,0.5835807896314338,0.037445454357923,0.05,2025-08-27
Portfolio 2,B-IOC2XD,Company_B_28,Industry B,Europe,Large,36960381.26215227,0.4363384716897764,0.0387879212756317,0.05,2025-01-29
Portfolio 2,B-J2ILS4,Company_B_13,Industry B,Asia,Large,28577598.571098864,0.5612485910550065,0.039659096654194,0.05,2025-09-24
Portfolio 2,B-JI444W,Company_B_20,Industry B,North America,Small,32329342.40816668,0.4746622431051985,0.0338857059003395,0.0,2025-06-18
Portfolio 2,B-JRBLOP,Company_B_43,Industry B,North America,Mid,31066982.473586395,0.397771971835267,0.0343267474415366,0.0,2025-02-26
Portfolio 2,B-JS2LBB,Company_B_41,Industry B,South America,Mid,22684692.280258358,0.4943045458786471,0.0423442153500894,0.05,2025-06-25
Portfolio 2,B-KVE4NM,Company_B_22,Industry B,North America,Mid,6768759.60275202,0.448622896022981,0.0287784188073835,0.05,2025-04-02
Portfolio 2,B-MHTAKQ,Company_B_35,Industry B,South America,,15703008.00584986,0.6212518836831601,0.0327334580699937,0.05,2025-10-22
Portfolio 2,B-MUVZTX,Company_B_11,Industry B,North America,Mid,30493123.80112432,0.5619171116975393,0.0326251906128119,0.0,2025-01-01
Portfolio 2,B-O2NB6I,Company_B_30,Industry B,Europe,Mid,34693326.39213783,0.4559347578430257,0.0352247537177965,0.0,2025-04-16
Portfolio 2,B-QF6194,Company_B_47,Industry B,Asia,Mid,13341848.527672105,0.493086206527386,0.0278945246598982,0.05,2025-08-20
Portfolio 2,B-SQ4OLC,Company_B_18,Industry B,South America,Small,35683734.8563096,0.5258228823322695,0.0459530261516893,0.0,2025-10-29
Portfolio 2,B-ST9KM6,Company_B_36,Industry B,Asia,Mid,32541198.350750968,0.3384341660679322,0.0383744678486786,0.05,2025-03-19
Portfolio 2,B-TB1OZ6,Company_B_31,Industry B,North America,,23461017.052539565,0.3959413947487566,0.0181105376834935,0.0,2025-12-03
Portfolio 2,B-TWSM8S,Company_B_12,Industry B,South America,Mid,9124536.531704089,0.5091520178173208,0.0390654396673085,0.05,2025-05-07
Portfolio 2,B-VQT2JW,Company_B_07,Industry B,South America,Mid,15074920.661685389,0.5361921853928844,0.0442446315886971,0.05,2025-05-07
Portfolio 2,B-WMAEKB,Company_B_27,Industry B,North America,,74217691.24862996,0.4479411587144589,0.0406882090142755,0.05,2025-10-15
Portfolio 2,B-WWOGAM,Company_B_23,Industry B,Asia,,31227350.15946521,0.4840351692577983,0.030429586987347,0.05,2025-05-21
Portfolio 2,B-Y6J2QG,Company_B_39,Industry B,Europe,Large,25392552.226008814,0.6498374440296733,0.0317881165479549,0.0,2025-01-22
