entity_code,entity_name,industry,EAD,EAD_fill_note,base_pd_hint,base_pd_hint_note,rho_final,n_obs,reason,lgd,lgd_fill_note,threshold
A-0172SR,Company_A_45,A,7447607.101690142,original EAD available,0.0229545316139667,original base_pd_hint available,0.4427774301550699,1,not enough valid observations; rho filled by global industry average,0.4027117259847115,original lgd available,-1.9962284391998402
A-5CRVMF,Company_A_33,A,14540527.40955621,original EAD available,0.0187736107702894,original base_pd_hint available,0.3939251249852776,60,rho estimated successfully,0.371051433725741,original lgd available,-2.0797635975781543
A-7Y1UPH,Company_A_27,A,10404808.080774983,original EAD available,0.0133680364113021,original base_pd_hint available,0.5543227010440133,41,rho estimated successfully,0.523272203388481,original lgd available,-2.215349673203686
A-C36F0G,Company_A_25,A,31619110.795545343,original EAD available,0.0155263649052208,original base_pd_hint available,0.5465076151292925,78,rho estimated successfully,0.361436345436521,original lgd available,-2.156396345379559
A-DT5C43,Company_A_03,A,13426357.492499432,original EAD available,0.0165953522779802,original base_pd_hint available,0.5360990607171591,15,rho estimated successfully,0.4352110109163791,original lgd available,-2.129768814123962
A-FKUFQE,Company_A_34,A,20688422.160971247,original EAD available,0.0211608494481312,original base_pd_hint available,0.3147989311001566,33,rho estimated successfully,0.4286890007992836,original lgd available,-2.0303428752539956
A-FVDXWD,Company_A_16,A,15791662.138349548,original EAD available,0.0267959378762021,original base_pd_hint available,0.4275625955549356,86,rho estimated successfully,0.4675997347177412,original lgd available,-1.9301207680376407
A-H8WKWS,Company_A_22,A,36314076.04037352,original EAD available,0.0222303610074104,original base_pd_hint available,0.624550888092148,114,rho estimated successfully,0.3976169843656488,original lgd available,-2.0097210382825477
A-QIMT1V,Company_A_31,A,20597466.05875378,EAD missing; filled by size_bucket average,0.0173528028631696,original base_pd_hint available,0.0269126204134167,8,rho estimated successfully,0.6268833568473738,original lgd available,-2.111776711204445
A-TR3J8L,Company_A_19,A,26616888.34963844,EAD missing; filled by size_bucket average,0.019296045567918,original base_pd_hint available,0.5473081904828394,55,rho estimated successfully,0.4010322560752153,original lgd available,-2.0685100012817834
A-UQSUBF,Company_A_08,A,29785514.38449223,original EAD available,0.0248413917729574,original base_pd_hint available,0.3726865313982926,56,rho estimated successfully,0.3807335107445405,original lgd available,-1.9626850308223447
A-W20E3T,Company_A_38,A,26938874.397447303,original EAD available,0.0071667077953435,original base_pd_hint available,0.48683243170729,40,rho estimated successfully,0.5677193578394526,original lgd available,-2.448797124364688
A-W69IIB,Company_A_21,A,9454666.941516371,original EAD available,1e-10,base_pd_hint missing; filled with minimum valid value 1e-10,0.5806357547155633,13,rho estimated successfully,0.6202775785948131,original lgd available,-6.361340902404056
A-Y21HNQ,Company_A_04,A,21744172.413033728,original EAD available,0.0221541050150394,original base_pd_hint available,0.3869768459379891,28,rho estimated successfully,0.483018608927679,original lgd available,-2.0111633076993476
A-YDGV2G,Company_A_17,A,35898894.811192736,original EAD available,0.0131165692622184,original base_pd_hint available,0.440995997203696,65,rho estimated successfully,0.4188152157475385,original lgd available,-2.2227429417873874
