entity_code,EAD,booking_date,internal_comment
A-ZVBDSW,31001720.84503288,2025-12-17T00:00:00.000000000,legacy
A-OL6NCQ,13297172.694463212,2025-07-02T00:00:00.000000000,check formatting
A-PEJ45W,34041246.854371905,2025-02-26T00:00:00.000000000,review
A-0172SR,24102940.00088122,2025-10-08T00:00:00.000000000,check formatting
A-DT5C43,31614758.98146161,2025-07-02T00:00:00.000000000,check formatting
A-FVDXWD,21539459.41679,2025-11-12T00:00:00.000000000,check formatting
A-0E88G2,22471797.889777817,2025-05-14T00:00:00.000000000,review
A-VZS47E,,2025-12-31T00:00:00.000000000,
A-TR3J8L,37478971.28580385,2025-10-22T00:00:00.000000000,check formatting
A-Y21HNQ,22213440.349451847,2025-03-19T00:00:00.000000000,legacy
B-0T5M74,23503013.833790183,2025-09-24T00:00:00.000000000,new
B-WMAEKB,26069893.72346353,2025-04-16T00:00:00.000000000,legacy
B-TZJXP7,30813029.8054204,2025-05-07T00:00:00.000000000,
B-O2NB6I,7514761.7420182,2025-04-02T00:00:00.000000000,review
B-MUVZTX,23049060.348269023,2025-09-10T00:00:00.000000000,new
B-QFZFP4,21855705.622211523,2025-04-02T00:00:00.000000000,review
B-IOC2XD,,2025-08-20T00:00:00.000000000,new
B-QF30BG,22272730.31527194,2025-07-30T00:00:00.000000000,review
B-JS2LBB,21391218.714301582,2025-10-01T00:00:00.000000000,
B-4Z0VCO,,2025-12-31T00:00:00.000000000,
B-TWSM8S,20770176.226030856,2025-01-01T00:00:00.000000000,review
B-BN8BND,11330955.06127316,2025-12-31T00:00:00.000000000,
B-JI444W,12592064.298202593,2025-02-05T00:00:00.000000000,
B-KVE4NM,8331563.841794094,2025-07-09T00:00:00.000000000,
B-7PFB78,5019884.524063055,2025-05-07T00:00:00.000000000,check formatting
B-TB1OZ6,,2025-08-20T00:00:00.000000000,legacy
B-J2ILS4,31923490.34543775,2025-09-24T00:00:00.000000000,review
B-9KROIO,30671325.49799425,2025-11-12T00:00:00.000000000,legacy
B-FVUAOK,6125218.073099757,2025-05-28T00:00:00.000000000,review
B-I67BWI,24949401.62579115,2025-12-10T00:00:00.000000000,new
B-3C5B0M,10399909.38947166,2025-04-30T00:00:00.000000000,review
B-ZWRIDU,37937669.966764405,2025-03-12T00:00:00.000000000,new
B-VQT2JW,10857774.987546274,2025-05-21T00:00:00.000000000,
B-WWOGAM,,2025-07-16T00:00:00.000000000,check formatting
B-JRBLOP,16418342.675741987,2025-09-03T00:00:00.000000000,check formatting
B-AAFB3V,27454646.40875233,2025-11-05T00:00:00.000000000,review
B-6KZVQO,19429050.87624263,2025-03-19T00:00:00.000000000,new
B-PL1YFZ,31587506.83072381,2025-04-23T00:00:00.000000000,legacy
B-4H8VVL,13073769.386475025,2025-12-10T00:00:00.000000000,
B-GFVBLE,36702714.851999104,2025-06-11T00:00:00.000000000,
B-QF30BG,22272730.31527194,2025-07-30T00:00:00.000000000,review
