date,entity_code,stock_return,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,industry_return,EAD,booking_date,internal_comment
2025-10-01,B-0T5M74,0.0320096908813981,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,,34784899.20182575,2025-10-01,check formatting
2025-10-02,B-0T5M74,-0.0262211144823401,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,-0.0139835436674951,34784899.20182575,2025-10-01,check formatting
2025-10-03,B-0T5M74,-0.0418957214152643,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,0.0012570528124232,34784899.20182575,2025-10-01,check formatting
2025-10-06,B-0T5M74,0.0946028564198624,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,0.0191824545318301,34784899.20182575,2025-10-01,check formatting
2025-10-07,B-0T5M74,-0.0380048759212271,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,-0.0315562534880117,34784899.20182575,2025-10-01,check formatting
2025-10-08,B-0T5M74,-0.0172588003483608,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,-0.0126125562157682,34784899.20182575,2025-10-01,check formatting
2025-10-09,B-0T5M74,-0.0252964097964782,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,-0.0182787295370303,34784899.20182575,2025-10-01,check formatting
2025-11-03,B-0T5M74,0.0090693946450332,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,-0.0005455947933683,34784899.20182575,2025-10-01,check formatting
2025-11-04,B-0T5M74,-0.0412770810148184,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,-0.0227663271628853,34784899.20182575,2025-10-01,check formatting
2025-11-05,B-0T5M74,0.033772453215339,Company_B_21,B,Asia,0.5296418000808659,0.0492455131191174,Mid,stable,satellite,91,0.0329021640544153,34784899.20182575,2025-10-01,check formatting
