entity_code,entity_name,industry,rho,industry_avg_rho,rho_final,n_obs,reason
A-DT5C43,Company_A_03,A,0.5360990607171591,0.4457225206058621,0.5360990607171591,15,rho estimated successfully
A-Y21HNQ,Company_A_04,A,0.38697684593798914,0.4457225206058621,0.38697684593798914,28,rho estimated successfully
A-UQSUBF,Company_A_08,A,0.3726865313982926,0.4457225206058621,0.3726865313982926,56,rho estimated successfully
A-FVDXWD,Company_A_16,A,0.4275625955549356,0.4457225206058621,0.4275625955549356,86,rho estimated successfully
A-YDGV2G,Company_A_17,A,0.44099599720369603,0.4457225206058621,0.44099599720369603,65,rho estimated successfully
A-TR3J8L,Company_A_19,A,0.5473081904828394,0.4457225206058621,0.5473081904828394,55,rho estimated successfully
A-W69IIB,Company_A_21,A,0.5806357547155633,0.4457225206058621,0.5806357547155633,13,rho estimated successfully
A-H8WKWS,Company_A_22,A,0.624550888092148,0.4457225206058621,0.624550888092148,114,rho estimated successfully
A-C36F0G,Company_A_25,A,0.5465076151292925,0.4457225206058621,0.5465076151292925,78,rho estimated successfully
A-7Y1UPH,Company_A_27,A,0.5543227010440133,0.4457225206058621,0.5543227010440133,41,rho estimated successfully
A-QIMT1V,Company_A_31,A,0.02691262041341671,0.4457225206058621,0.02691262041341671,8,rho estimated successfully
A-5CRVMF,Company_A_33,A,0.39392512498527765,0.4457225206058621,0.39392512498527765,60,rho estimated successfully
A-FKUFQE,Company_A_34,A,0.31479893110015666,0.4457225206058621,0.31479893110015666,33,rho estimated successfully
A-W20E3T,Company_A_38,A,0.48683243170729007,0.4457225206058621,0.48683243170729007,40,rho estimated successfully
A-0172SR,Company_A_45,A,,0.4457225206058621,0.4457225206058621,1,not enough valid observations; rho filled by industry A average
