entity_code,entity_name,industry,rho,industry_avg_rho,rho_final,n_obs,reason
B-5BIIQF,Company_B_02,B,0.6322856114128557,0.5907614127506081,0.6322856114128557,30,rho estimated successfully
B-VQT2JW,Company_B_07,B,0.4063077747989638,0.5907614127506081,0.4063077747989638,56,rho estimated successfully
B-MUVZTX,Company_B_11,B,0.6245316893873808,0.5907614127506081,0.6245316893873808,80,rho estimated successfully
B-TWSM8S,Company_B_12,B,0.48234502124951545,0.5907614127506081,0.48234502124951545,49,rho estimated successfully
B-J2ILS4,Company_B_13,B,0.8338531393503555,0.5907614127506081,0.8338531393503555,22,rho estimated successfully
B-CKUMRG,Company_B_14,B,0.7341249036350953,0.5907614127506081,0.7341249036350953,40,rho estimated successfully
B-SQ4OLC,Company_B_18,B,0.5438288438494053,0.5907614127506081,0.5438288438494053,15,rho estimated successfully
B-JI444W,Company_B_20,B,0.6397939767858878,0.5907614127506081,0.6397939767858878,38,rho estimated successfully
B-0T5M74,Company_B_21,B,0.6625943336422524,0.5907614127506081,0.6625943336422524,21,rho estimated successfully
B-KVE4NM,Company_B_22,B,0.6259853893137084,0.5907614127506081,0.6259853893137084,64,rho estimated successfully
B-WWOGAM,Company_B_23,B,0.6140916171089322,0.5907614127506081,0.6140916171089322,48,rho estimated successfully
B-FVUAOK,Company_B_24,B,0.5562463664724706,0.5907614127506081,0.5562463664724706,61,rho estimated successfully
B-WMAEKB,Company_B_27,B,0.47272179458949365,0.5907614127506081,0.47272179458949365,26,rho estimated successfully
B-IOC2XD,Company_B_28,B,0.46259169974249514,0.5907614127506081,0.46259169974249514,79,rho estimated successfully
B-O2NB6I,Company_B_30,B,0.6212870992062038,0.5907614127506081,0.6212870992062038,58,rho estimated successfully
B-TB1OZ6,Company_B_31,B,0.5738325255936889,0.5907614127506081,0.5738325255936889,7,rho estimated successfully
B-6KZVQO,Company_B_32,B,0.6159273102343562,0.5907614127506081,0.6159273102343562,54,rho estimated successfully
B-4Z0VCO,Company_B_34,B,0.5787636243400295,0.5907614127506081,0.5787636243400295,14,rho estimated successfully
B-MHTAKQ,Company_B_35,B,0.7343760846960672,0.5907614127506081,0.7343760846960672,14,rho estimated successfully
B-ST9KM6,Company_B_36,B,0.5980287232603694,0.5907614127506081,0.5980287232603694,66,rho estimated successfully
B-HVWXAK,Company_B_37,B,0.27221560566398134,0.5907614127506081,0.27221560566398134,30,rho estimated successfully
B-CUJ2V2,Company_B_38,B,0.7596065990799996,0.5907614127506081,0.7596065990799996,15,rho estimated successfully
B-Y6J2QG,Company_B_39,B,0.5819374765280262,0.5907614127506081,0.5819374765280262,79,rho estimated successfully
B-JS2LBB,Company_B_41,B,0.7421337812477441,0.5907614127506081,0.7421337812477441,41,rho estimated successfully
B-9KROIO,Company_B_42,B,0.44194742784942836,0.5907614127506081,0.44194742784942836,72,rho estimated successfully
B-JRBLOP,Company_B_43,B,0.46528086400465746,0.5907614127506081,0.46528086400465746,74,rho estimated successfully
B-QF6194,Company_B_47,B,0.6739188612230563,0.5907614127506081,0.6739188612230563,29,rho estimated successfully
