entity_code,entity_name
B-5BIIQF,Company_B_02
B-VQT2JW,Company_B_07
B-MUVZTX,Company_B_11
B-TWSM8S,Company_B_12
B-J2ILS4,Company_B_13
B-CKUMRG,Company_B_14
B-SQ4OLC,Company_B_18
B-JI444W,Company_B_20
B-0T5M74,Company_B_21
B-KVE4NM,Company_B_22
B-WWOGAM,Company_B_23
B-FVUAOK,Company_B_24
B-WMAEKB,Company_B_27
B-IOC2XD,Company_B_28
B-O2NB6I,Company_B_30
B-TB1OZ6,Company_B_31
B-6KZVQO,Company_B_32
B-4Z0VCO,Company_B_34
B-MHTAKQ,Company_B_35
B-ST9KM6,Company_B_36
B-HVWXAK,Company_B_37
B-CUJ2V2,Company_B_38
B-Y6J2QG,Company_B_39
B-JS2LBB,Company_B_41
B-9KROIO,Company_B_42
B-JRBLOP,Company_B_43
B-QF6194,Company_B_47
