simulation_id,systematic_factor_F,analytical_conditional_loss
1,1.4326227600622672,369137.11219918204
2,-0.9504180779989508,3955152.438511286
3,1.539095134069865,345577.0434805956
4,0.8662886925318929,564597.9439429323
5,-0.9018233733914761,3740721.0315612783
6,0.3304750123061947,938263.5944640145
7,0.30179743896345773,966449.6309452538
8,-0.7772042874364725,3240520.079360422
9,0.6234908483294656,702656.4971651651
10,-0.2743009185360154,1815607.572593435
11,-0.9180913896912143,3811245.8045180184
12,1.1864017667117448,437308.9959961073
13,-1.0534249122150607,4448548.647371905
14,-0.5787058806304848,2576045.6409900654
15,1.8280145399325964,295254.0256913533
16,-0.6733278759938253,2873932.4184055733
17,1.8681362484318655,289564.16144470335
18,0.8837452350918588,556233.6445240977
19,-0.6388951094533025,2761729.1755665527
20,0.6988911469448132,655085.4968645704
21,1.3578306271460356,387662.0505035257
22,1.6298358658598502,327812.5389047727
23,0.6789602433304959,667214.8423614717
24,0.23852276641032688,1032424.8958538851
25,0.007586468461264883,1323816.9106314797
26,-0.013585783067152291,1355044.3075224461
27,1.8630369499428334,290272.14079216577
28,-1.101890842750146,4699978.571174894
29,1.0478169373787871,486115.0731607001
30,-1.1033318998002895,4707650.969269217
31,1.178883730316533,439742.0938634956
32,0.03679190180179907,1282086.37357971
33,-0.07770445157076154,1454845.0701901834
34,0.3398158142960458,929304.3509778276
35,1.4017117006861197,376583.6677843653
36,1.032475157516852,492066.4744653188
37,0.4112109959469242,864260.1708307349
38,-0.5289729456430899,2432187.5363135254
39,-0.6535611998059949,2808975.464182446
40,0.28489942116482064,983549.386804146
41,-0.7788331857585303,3246619.6234087986
42,-0.231153860700971,1728754.057413623
43,-1.5421768271476701,7638047.484683562
44,0.213025438899624,1060556.231493102
45,0.0021763011295171824,1331717.4472034904
46,-0.7008488578314229,2966866.5659818016
47,-0.9411075565721392,3913186.1510993177
48,-0.22724265217462197,1721106.4188178976
49,-0.22190221874418767,1710723.5565250954
50,0.8637476202783461,565831.1859986257
51,0.27573031122450603,992983.9590466478
52,-0.41140486838612267,2124009.298244444
53,0.7799742229597986,608824.7186304843
54,-1.26749734245561,5660061.835965419
55,0.0723148032374758,1233361.0398423912
56,0.07308545705450308,1232328.0452123503
57,1.0483879731122123,485895.7959156818
58,0.9168506294269333,540876.16044227
59,0.03779326714723062,1280682.658253919
60,-0.06098389693080156,1428040.95993738
61,0.40875328575584324,866401.562717328
62,-0.7047267072767511,2980198.7307532826
63,-0.8555816556731686,3546997.818714596
64,0.19136775182318458,1085180.9969550886
65,1.659594890740878,322406.1109425398
66,-0.10361687012895016,1497508.1095681174
67,0.7115580824975551,647536.8698762885
68,-0.17480040110916428,1622054.2530794786
69,-0.9191441976554868,3815853.2319688452
70,0.39957717411468313,874456.6815470867
71,-0.5935114210062452,2620519.518396284
72,-0.859468677914553,3562904.34477311
73,0.350952774607467,918761.6479557416
74,0.40696357964905244,867965.1857786212
75,1.2897744773527557,406097.84421441803
76,0.836051997683305,579536.490212347
77,0.55348739516702,751152.3373727498
78,0.826886458970247,584180.4400794081
79,-1.9524626393267717,11643484.774909018
80,-0.3471740088317166,1973127.162048335
81,0.24281654480060924,1027777.0342188224
82,0.9924430999426221,508155.72983933997
83,-1.4703354551834524,7070575.887682218
84,-1.5953449004950269,8082320.488917913
85,-1.610833165923397,8215722.382651507
86,-0.5046564221042954,2364862.3230711687
87,0.3390862952683932,930000.2132547341
88,-1.4872659996020685,7200974.769216145
89,-0.3439566334940709,1965873.5662304384
90,0.4489419763353735,832220.2872371097
91,-0.10695053780921668,1503097.7210297158
92,-1.4487598685839083,6907330.240457977
93,0.4699715491203299,815025.7592555671
94,0.7501162419182844,625301.4404003763
95,-0.9452507439273454,3931808.9030774683
96,-0.43015281871942607,2170298.1679795296
97,-1.0159138454599193,4262566.680421205
98,2.1809879831771686,253410.92327354028
99,-0.0672372844649095,1437999.8864354675
100,-0.6252495695611878,2718485.5357545246
101,0.25065290167650506,1019359.9331659912
102,-1.126123665136298,4830535.005597756
103,0.25842258047286176,1011097.290075917
104,0.09413401015357138,1204500.7117296583
105,0.9350466765042402,532708.3511991855
106,-1.5131508551188215,7404294.134335772
107,0.05265179046825803,1260061.3243369167
108,0.22785366765194298,1044084.8123374161
109,-0.4377151599275099,2189266.567193208
110,1.6279292862162764,328165.7048167758
111,-1.0157016773657712,4261535.643959649
112,0.05690499465110952,1254229.4923821127
113,-0.9216530953026265,3826854.323300891
114,-0.9053644322900777,3755965.5259713773
115,1.755874157423927,306206.1340672489
116,-0.442588326797422,2201581.210217439
117,0.32011830185912343,948323.4921697463
118,-1.1269852120943165,4835237.201923016
119,-0.2397255399628735,1745643.7833911814
120,0.6240219622719205,702305.0092332858
121,-1.0466112590227905,4414215.383421532
122,-0.36101387746502367,2004654.2290881658
123,0.5437896178483954,758221.8611656189
124,2.034791033968384,268652.02125202323
125,-0.7844975894836623,3267917.7456772476
126,0.5632747561496321,744106.4180172216
127,0.6401524292489877,691743.6329754026
128,0.5143518962978267,780229.9521334547
129,-0.4711031474403378,2275095.9667047607
130,-0.8783300784919638,3641066.651713052
131,1.2487695042320077,417993.0138320807
132,-1.3559748307522308,6241781.946082686
133,-0.7221980762213379,3041003.9183992166
134,1.1321996443508893,455381.2472734553
135,-1.1309689703919363,4857034.4091479285
136,-0.24208269655069442,1750319.6772930613
137,1.5610861245288457,341087.18228774366
138,-0.4866238174635298,2316173.9776253044
139,-0.7440810074309,3118889.874597489
140,-1.4115905907070208,6633688.491678846
