entity_code,entity_name,industry,lgd,portfolio,industry_avg_lgd,lgd_original,lgd_final,lgd_fill_note
A-0172SR,Company_A_45,A,0.4027117259847115,portfolio_1,0.45534220768146694,0.4027117259847115,0.4027117259847115,original lgd available
A-5CRVMF,Company_A_33,A,0.371051433725741,portfolio_1,0.45534220768146694,0.371051433725741,0.371051433725741,original lgd available
A-7Y1UPH,Company_A_27,A,0.523272203388481,portfolio_1,0.45534220768146694,0.523272203388481,0.523272203388481,original lgd available
A-C36F0G,Company_A_25,A,0.361436345436521,portfolio_1,0.45534220768146694,0.361436345436521,0.361436345436521,original lgd available
A-DT5C43,Company_A_03,A,0.4352110109163791,portfolio_1,0.45534220768146694,0.4352110109163791,0.4352110109163791,original lgd available
A-FKUFQE,Company_A_34,A,0.4286890007992836,portfolio_1,0.45534220768146694,0.4286890007992836,0.4286890007992836,original lgd available
A-FVDXWD,Company_A_16,A,0.4675997347177412,portfolio_1,0.45534220768146694,0.4675997347177412,0.4675997347177412,original lgd available
A-H8WKWS,Company_A_22,A,0.3976169843656488,portfolio_1,0.45534220768146694,0.3976169843656488,0.3976169843656488,original lgd available
A-QIMT1V,Company_A_31,A,0.6268833568473738,portfolio_1,0.45534220768146694,0.6268833568473738,0.6268833568473738,original lgd available
A-TR3J8L,Company_A_19,A,0.4010322560752153,portfolio_1,0.45534220768146694,0.4010322560752153,0.4010322560752153,original lgd available
A-UQSUBF,Company_A_08,A,0.3807335107445405,portfolio_1,0.45534220768146694,0.3807335107445405,0.3807335107445405,original lgd available
A-W20E3T,Company_A_38,A,0.5677193578394526,portfolio_1,0.45534220768146694,0.5677193578394526,0.5677193578394526,original lgd available
A-W69IIB,Company_A_21,A,0.6202775785948131,portfolio_1,0.45534220768146694,0.6202775785948131,0.6202775785948131,original lgd available
A-Y21HNQ,Company_A_04,A,0.483018608927679,portfolio_1,0.45534220768146694,0.483018608927679,0.483018608927679,original lgd available
A-YDGV2G,Company_A_17,A,0.4188152157475385,portfolio_1,0.45534220768146694,0.4188152157475385,0.4188152157475385,original lgd available
