simulation_id,portfolio_loss
1,45399344.989988685
2,12357574.877490142
3,0.0
4,18763324.314525187
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,9289187.814006878
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,34408176.19966873
27,0.0
28,0.0
29,0.0
30,0.0
31,15201817.435149617
32,0.0
33,31612825.92535346
34,9289187.814006878
35,15115135.719909279
36,79445344.37876457
37,6426429.244889958
38,15115135.719909279
39,22478477.110473868
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,15817893.367368415
46,17561211.196648613
47,0.0
48,130761778.16362469
49,54040113.22896518
50,16622579.30751163
51,45082552.315972745
52,0.0
53,0.0
54,15345518.185576417
55,0.0
56,6426429.244889958
57,0.0
58,16127236.27299897
59,0.0
60,47862906.79652923
61,0.0
62,0.0
63,110743254.63240537
64,39904917.10236916
65,22871999.8384178
66,53845876.42910783
67,30547335.620726034
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,31472754.458575387
74,13189289.29646699
75,16127236.27299897
76,0.0
77,0.0
78,11013053.326687574
79,22157596.26612189
80,0.0
81,0.0
82,16622579.30751163
83,0.0
84,53001037.32667118
85,13189289.29646699
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,16127236.27299897
93,0.0
94,16622579.30751163
95,6426429.244889958
96,0.0
97,16127236.27299897
98,0.0
99,0.0
100,0.0
101,0.0
102,28858606.1134297
103,0.0
104,36202806.88610272
105,0.0
106,47979081.01979309
107,0.0
108,0.0
109,0.0
110,62435223.75063783
111,0.0
112,0.0
113,60681742.16055101
114,0.0
115,18423536.62888647
116,37575237.58466685
117,0.0
118,54264117.73162468
119,0.0
120,0.0
121,8083054.654213435
122,0.0
123,41632313.60684064
124,0.0
125,30583798.529142946
126,6498766.752669321
127,0.0
128,0.0
129,0.0
130,94629660.92910928
131,0.0
132,72597577.22531262
133,123769437.59396106
134,0.0
135,12357574.877490142
136,0.0
137,30137974.22514709
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,22999797.988608878
144,0.0
145,0.0
146,0.0
147,32876869.36330692
148,31535907.542854235
149,18423536.62888647
150,0.0
151,0.0
152,0.0
153,104359782.74256667
154,0.0
155,0.0
156,18763324.314525187
157,0.0
158,0.0
159,15201817.435149617
160,0.0
161,107748023.45194052
162,0.0
163,0.0
164,0.0
165,11204092.281538276
166,8083054.654213435
167,34600669.998493105
168,0.0
169,0.0
170,0.0
171,17570972.184324272
172,0.0
173,0.0
174,0.0
175,30401100.575793713
176,13189289.29646699
177,94522003.20623322
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,18423536.62888647
188,16501031.235939557
189,0.0
190,0.0
191,0.0
192,114570231.73753834
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,4645776.186764995
200,27635632.634199202
201,49750056.04252953
202,0.0
203,0.0
204,26358571.51226399
205,8083054.654213435
206,0.0
207,0.0
208,0.0
209,0.0
210,72447119.69976246
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,98590543.06892425
225,0.0
226,52105710.07615109
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,42643814.60198082
235,0.0
236,0.0
237,11013053.326687574
238,0.0
239,8083054.654213435
240,0.0
241,0.0
242,0.0
243,0.0
244,18226223.6516528
245,0.0
246,0.0
247,25951744.411190566
248,70606972.87620303
249,15201817.435149617
250,92260328.17674534
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,4645776.186764995
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,15817893.367368415
266,0.0
267,50198892.56300463
268,0.0
269,0.0
270,74187910.47021627
271,11213146.515989961
272,59490416.75998631
273,0.0
274,23633374.80563259
275,0.0
276,0.0
277,55530965.97348525
278,0.0
279,127243205.51643704
280,8083054.654213435
281,6426429.244889958
282,61756841.46191456
283,0.0
284,0.0
285,0.0
286,0.0
287,8083054.654213435
288,66626231.11105442
289,25573416.670494385
290,16501031.235939557
291,0.0
292,0.0
293,79591567.58949845
294,16127236.27299897
295,0.0
296,0.0
297,0.0
298,27472710.59739942
299,87188554.17186664
300,0.0
301,34353459.92465177
302,0.0
303,0.0
304,0.0
305,14108825.967124926
306,0.0
307,15201817.435149617
308,16127236.27299897
309,0.0
310,15817893.367368415
311,75233329.11471009
312,128378649.45245485
313,0.0
314,18423536.62888647
315,0.0
316,42146175.603267655
317,0.0
318,97484118.88022798
319,63830006.89846698
320,0.0
321,29811868.60397862
322,74091809.43917966
323,0.0
324,0.0
325,15817893.367368415
326,6498766.752669321
327,48400007.459401615
328,0.0
329,0.0
330,106820511.55851732
331,8083054.654213435
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,16622579.30751163
338,18235903.67611407
339,0.0
340,46250208.217936374
341,0.0
342,0.0
343,3036620.5354699735
344,0.0
345,0.0
346,0.0
347,0.0
348,26328282.23589924
349,0.0
350,17838577.957339406
351,14938691.084502991
352,0.0
353,0.0
354,0.0
355,6498766.752669321
356,0.0
357,33625354.064036086
358,15817893.367368415
359,3036620.5354699735
360,0.0
361,0.0
362,4645776.186764995
363,0.0
364,6426429.244889958
365,0.0
366,0.0
367,23900948.02158185
368,0.0
369,0.0
370,29690320.532406546
371,0.0
372,43243116.10087926
373,9535387.288139295
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,16622579.30751163
381,0.0
382,56890067.9359988
383,0.0
384,16622579.30751163
385,15817893.367368415
386,0.0
387,0.0
388,0.0
389,9289187.814006878
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,18763324.314525187
396,0.0
397,15345518.185576417
398,0.0
399,13189289.29646699
400,0.0
401,0.0
402,0.0
403,119074805.27330549
404,109638304.26775534
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,16127236.27299897
416,0.0
417,0.0
418,0.0
419,9289187.814006878
420,0.0
421,0.0
422,0.0
423,0.0
424,15115135.719909279
425,210054367.78696787
426,8083054.654213435
427,0.0
428,13189289.29646699
429,0.0
430,49967725.02891957
431,0.0
432,81538199.68116741
433,0.0
434,0.0
435,3036620.5354699735
436,0.0
437,12357574.877490142
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,43331977.929995544
444,96652874.35638687
445,0.0
446,0.0
447,0.0
448,18763324.314525187
449,36377979.90703206
450,15817893.367368415
451,8083054.654213435
452,3036620.5354699735
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,17003351.064255137
465,0.0
466,30140508.51965261
467,26414963.951139577
468,14509483.899103392
469,0.0
470,0.0
471,0.0
472,41226021.64026168
473,0.0
474,16622579.30751163
475,18226223.6516528
476,0.0
477,0.0
478,0.0
479,0.0
480,24694214.38762896
481,0.0
482,0.0
483,6426429.244889958
484,0.0
485,15345518.185576417
486,0.0
487,68103547.39063379
488,15817893.367368415
489,15817893.367368415
490,15817893.367368415
491,0.0
492,0.0
493,29239276.978340376
494,39976198.95676346
495,19688056.04913631
496,0.0
497,0.0
498,13189289.29646699
499,26128189.046596855
500,0.0
501,15115135.719909279
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,16622579.30751163
510,16622579.30751163
511,6548157.86996104
512,0.0
513,0.0
514,59413060.78608919
515,0.0
516,0.0
517,24584085.89015299
518,0.0
519,0.0
520,112628096.69473255
521,0.0
522,16501031.235939557
523,0.0
524,0.0
525,17134608.052963268
526,0.0
527,0.0
528,0.0
529,0.0
530,13189289.29646699
531,29239276.978340376
532,0.0
533,8083054.654213435
534,0.0
535,0.0
536,0.0
537,0.0
538,6548157.86996104
539,29430315.933191076
540,4645776.186764995
541,95903068.44809064
542,0.0
543,17372242.468220312
544,66182141.63756786
545,0.0
546,0.0
547,25262091.067194507
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
