entity_code,EAD,booking_date,internal_comment
A-W20E3T,26938874.397447303,2025-05-07T00:00:00.000000000,legacy
A-ZL3UTG,31154443.006722443,2025-05-14T00:00:00.000000000,review
A-H8WKWS,36314076.04037352,2025-03-05T00:00:00.000000000,
A-5CRVMF,14540527.40955621,2025-03-05T00:00:00.000000000,
A-89F6D0,8875349.051019402,2025-03-26T00:00:00.000000000,new
A-SE4QSN,38461633.08329202,2025-06-18T00:00:00.000000000,check formatting
A-7Y1UPH,10404808.080774983,2025-05-07T00:00:00.000000000,
A-2NTLLF,11918344.378912384,2025-05-21T00:00:00.000000000,check formatting
A-0E88G2,15196530.8745463,2025-09-24T00:00:00.000000000,review
A-GT87M2,23528697.39092006,2025-03-26T00:00:00.000000000,
A-YDGV2G,35898894.811192736,2025-12-03T00:00:00.000000000,review
A-C36F0G,31619110.795545343,2025-10-01T00:00:00.000000000,check formatting
A-UQSUBF,29785514.38449223,2025-03-05T00:00:00.000000000,check formatting
A-RX0P71,11131319.874960128,2025-04-23T00:00:00.000000000,check formatting
A-TR3J8L,,2025-03-05T00:00:00.000000000,review
A-Y21HNQ,21744172.413033728,2025-04-09T00:00:00.000000000,
A-VZS47E,10159908.371995503,2025-05-14T00:00:00.000000000,legacy
A-QIMT1V,,2025-02-12T00:00:00.000000000,review
A-FVDXWD,15791662.138349548,2025-01-01T00:00:00.000000000,
A-W69IIB,9454666.941516371,2025-06-11T00:00:00.000000000,new
A-ZVBDSW,24258389.21678901,2025-09-17T00:00:00.000000000,
A-IJCFPR,29675986.878346752,2025-04-23T00:00:00.000000000,new
A-0172SR,7447607.101690142,2025-11-12T00:00:00.000000000,review
A-PNGYIK,21839308.56171024,2025-05-14T00:00:00.000000000,review
A-9XOOP3,32377391.834372822,2025-11-26T00:00:00.000000000,review
A-03PK8Q,31179654.51333564,2025-03-26T00:00:00.000000000,review
A-RSPF7A,33527558.367656395,2025-07-16T00:00:00.000000000,review
A-FKUFQE,20688422.160971247,2025-10-08T00:00:00.000000000,
A-O7YD44,33719497.892395124,2025-01-22T00:00:00.000000000,review
A-DT5C43,13426357.492499432,2025-12-10T00:00:00.000000000,review
A-H8WKWS,36314076.04037352,2025-03-05T00:00:00.000000000,
