date,entity_code,stock_return,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,industry_return,EAD,booking_date,internal_comment,base_pd_hint_note
2025-12-11,A-0172SR,-0.0085442329635067,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0140858050562602,7447607.101690142,2025-12-11,review,original base_pd_hint available
2025-05-05,A-5CRVMF,0.0252174420150342,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,-0.00847882823129,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-05-06,A-5CRVMF,9.43169681259775e-05,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,-0.0161446099702318,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-05-07,A-5CRVMF,0.0049885385245869,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,-0.0096620235568906,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-05-09,A-5CRVMF,0.000499609028475,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,0.0129026337937017,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-05-12,A-5CRVMF,0.0229597773888773,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,-0.0022773491009264,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-06-02,A-5CRVMF,0.0179788816403676,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,-0.0005529602076241,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-06-03,A-5CRVMF,-0.0090829675513644,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,-0.0172330905611457,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-06-04,A-5CRVMF,0.0069624044367321,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,0.0183184481974437,14540527.40955621,2025-05-03,,original base_pd_hint available
2025-06-05,A-5CRVMF,0.0035035477838196,Company_A_33,A,Europe,0.371051433725741,0.0187736107702894,Large,,legacy,24,0.0106371342459794,14540527.40955621,2025-05-03,,original base_pd_hint available
