entity_code,entity_name,size_bucket,EAD,portfolio,size_bucket_avg_EAD,EAD_original,EAD_filled,EAD_fill_note
A-0172SR,Company_A_45,Small,7447607.101690142,portfolio_1,23656758.80018653,7447607.101690142,7447607.101690142,original EAD available
A-5CRVMF,Company_A_33,Large,14540527.40955621,portfolio_1,26616888.34963844,14540527.40955621,14540527.40955621,original EAD available
A-7Y1UPH,Company_A_27,Small,10404808.080774983,portfolio_1,23656758.80018653,10404808.080774983,10404808.080774983,original EAD available
A-C36F0G,Company_A_25,Large,31619110.795545343,portfolio_1,26616888.34963844,31619110.795545343,31619110.795545343,original EAD available
A-DT5C43,Company_A_03,Large,13426357.492499432,portfolio_1,26616888.34963844,13426357.492499432,13426357.492499432,original EAD available
A-FKUFQE,Company_A_34,Small,20688422.160971247,portfolio_1,23656758.80018653,20688422.160971247,20688422.160971247,original EAD available
A-FVDXWD,Company_A_16,Small,15791662.138349548,portfolio_1,23656758.80018653,15791662.138349548,15791662.138349548,original EAD available
A-H8WKWS,Company_A_22,Small,36314076.04037352,portfolio_1,23656758.80018653,36314076.04037352,36314076.04037352,original EAD available
A-QIMT1V,Company_A_31,Mid,,portfolio_1,20597466.05875378,,20597466.05875378,EAD missing; filled by size_bucket average
A-TR3J8L,Company_A_19,Large,,portfolio_1,26616888.34963844,,26616888.34963844,EAD missing; filled by size_bucket average
A-UQSUBF,Company_A_08,Mid,29785514.38449223,portfolio_1,20597466.05875378,29785514.38449223,29785514.38449223,original EAD available
A-W20E3T,Company_A_38,Mid,26938874.397447303,portfolio_1,20597466.05875378,26938874.397447303,26938874.397447303,original EAD available
A-W69IIB,Company_A_21,Large,9454666.941516371,portfolio_1,26616888.34963844,9454666.941516371,9454666.941516371,original EAD available
A-Y21HNQ,Company_A_04,Mid,21744172.413033728,portfolio_1,20597466.05875378,21744172.413033728,21744172.413033728,original EAD available
A-YDGV2G,Company_A_17,Mid,35898894.811192736,portfolio_1,20597466.05875378,35898894.811192736,35898894.811192736,original EAD available
