entity_code,entity_name,industry,EAD,EAD_fill_note,base_pd_hint,base_pd_hint_note,rho_final,n_obs,reason,lgd,lgd_fill_note,threshold
B-0T5M74,Company_B_21,B,34784899.20182575,original EAD available,0.0492455131191174,original base_pd_hint available,0.6625943336422524,21,rho estimated successfully,0.5296418000808659,original lgd available,-1.6522135447167667
B-4Z0VCO,Company_B_34,B,9490264.047889208,original EAD available,0.0337807908633653,original base_pd_hint available,0.5787636243400295,14,rho estimated successfully,0.6847825012956046,original lgd available,-1.827919848362243
B-5BIIQF,Company_B_02,B,12968140.137972496,original EAD available,1e-10,base_pd_hint missing; filled with minimum valid value 1e-10,0.6322856114128557,30,rho estimated successfully,0.490798396967228,lgd missing; filled by industry average,-6.361340902404056
B-6KZVQO,Company_B_32,B,31598840.929525554,original EAD available,0.027206283706547,original base_pd_hint available,0.6159273102343562,54,rho estimated successfully,0.4810076158977743,original lgd available,-1.9235376136937639
B-9KROIO,Company_B_42,B,26662073.341073405,original EAD available,0.0277544532017155,original base_pd_hint available,0.4419474278494283,72,rho estimated successfully,0.5701663648089567,original lgd available,-1.914871396718424
B-CKUMRG,Company_B_14,B,35359823.88189043,original EAD available,0.0326507484231694,original base_pd_hint available,0.7341249036350953,40,rho estimated successfully,0.3168593915784876,original lgd available,-1.8431884761226514
B-CUJ2V2,Company_B_38,B,32401684.59601034,original EAD available,0.0437620750599563,original base_pd_hint available,0.7596065990799996,15,rho estimated successfully,0.5625085201248153,original lgd available,-1.7086049554801843
B-FVUAOK,Company_B_24,B,12382703.597104952,original EAD available,0.0248162426031954,original base_pd_hint available,0.5562463664724706,61,rho estimated successfully,0.5189843392837443,original lgd available,-1.9631178215918839
B-HVWXAK,Company_B_37,B,22600622.79431236,original EAD available,0.037445454357923,original base_pd_hint available,0.2722156056639813,30,rho estimated successfully,0.5835807896314338,original lgd available,-1.7811318803275062
B-IOC2XD,Company_B_28,B,36960381.26215227,original EAD available,0.0387879212756317,original base_pd_hint available,0.4625916997424951,79,rho estimated successfully,0.4363384716897764,original lgd available,-1.7649281464616418
B-J2ILS4,Company_B_13,B,26616888.34963844,EAD missing; filled by size_bucket average,0.039659096654194,original base_pd_hint available,0.8338531393503555,22,rho estimated successfully,0.5612485910550065,original lgd available,-1.7546558431222414
B-JI444W,Company_B_20,B,32329342.40816668,original EAD available,0.0338857059003395,original base_pd_hint available,0.6397939767858878,38,rho estimated successfully,0.4746622431051985,original lgd available,-1.8265237190387955
B-JRBLOP,Company_B_43,B,31066982.473586395,original EAD available,0.0343267474415366,original base_pd_hint available,0.4652808640046574,74,rho estimated successfully,0.397771971835267,original lgd available,-1.8206932759146208
B-JS2LBB,Company_B_41,B,22684692.28025836,original EAD available,0.0423442153500894,original base_pd_hint available,0.7421337812477441,41,rho estimated successfully,0.4943045458786471,original lgd available,-1.7241075426294237
B-KVE4NM,Company_B_22,B,6768759.60275202,original EAD available,0.0287784188073835,original base_pd_hint available,0.6259853893137084,64,rho estimated successfully,0.448622896022981,original lgd available,-1.8990580980302427
B-MHTAKQ,Company_B_35,B,15703008.00584986,original EAD available,0.0327334580699937,original base_pd_hint available,0.7343760846960672,14,rho estimated successfully,0.6212518836831601,original lgd available,-1.8420562927057613
B-MUVZTX,Company_B_11,B,30493123.80112432,original EAD available,0.0326251906128119,original base_pd_hint available,0.6245316893873808,80,rho estimated successfully,0.5619171116975393,original lgd available,-1.8435388063572058
B-O2NB6I,Company_B_30,B,34693326.39213783,original EAD available,0.0352247537177965,original base_pd_hint available,0.6212870992062038,58,rho estimated successfully,0.4559347578430257,original lgd available,-1.8090096290176954
B-QF6194,Company_B_47,B,13341848.527672105,original EAD available,0.0278945246598982,original base_pd_hint available,0.6739188612230563,29,rho estimated successfully,0.490798396967228,lgd missing; filled by industry average,-1.9126798577877477
B-SQ4OLC,Company_B_18,B,35683734.8563096,original EAD available,0.0459530261516893,original base_pd_hint available,0.5438288438494053,15,rho estimated successfully,0.5258228823322695,original lgd available,-1.6854278596827776
B-ST9KM6,Company_B_36,B,32541198.350750968,original EAD available,0.0383744678486786,original base_pd_hint available,0.5980287232603694,66,rho estimated successfully,0.3384341660679322,original lgd available,-1.7698691822853578
B-TB1OZ6,Company_B_31,B,23461017.052539565,original EAD available,0.0181105376834935,original base_pd_hint available,0.5738325255936889,7,rho estimated successfully,0.3959413947487566,original lgd available,-2.0944369359406356
B-TWSM8S,Company_B_12,B,9124536.531704089,original EAD available,0.0390654396673085,original base_pd_hint available,0.4823450212495154,49,rho estimated successfully,0.5091520178173208,original lgd available,-1.7616356337322585
B-VQT2JW,Company_B_07,B,15074920.661685389,original EAD available,0.0442446315886971,original base_pd_hint available,0.4063077747989638,56,rho estimated successfully,0.5361921853928844,original lgd available,-1.7034212531155615
B-WMAEKB,Company_B_27,B,37108845.62431498,original EAD available,0.0406882090142755,original base_pd_hint available,0.4727217945894936,26,rho estimated successfully,0.4479411587144589,original lgd available,-1.742755010475586
B-WWOGAM,Company_B_23,B,31227350.15946521,original EAD available,0.030429586987347,original base_pd_hint available,0.6140916171089322,48,rho estimated successfully,0.4840351692577983,original lgd available,-1.8745171974845058
B-Y6J2QG,Company_B_39,B,25392552.226008814,original EAD available,0.0317881165479549,original base_pd_hint available,0.5819374765280262,79,rho estimated successfully,0.6498374440296733,original lgd available,-1.8551400276655596
