date,entity_code,stock_return,entity_name,industry,region,lgd,base_pd_hint,size_bucket,analyst_note,region_note,irrelevant_score,industry_return,EAD,booking_date,internal_comment,base_pd_hint_note
2025-10-08,A-0172SR,-0.031289799313129,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0240693646725217,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-10-09,A-0172SR,-0.0172997508478331,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.004096752034854,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-10-10,A-0172SR,-0.0035195118757714,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0009863909699606,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-03,A-0172SR,0.0347464398708175,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-04,A-0172SR,-0.011430714366282,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0002530604133823,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-05,A-0172SR,0.0004142016002185,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.008650284141478,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-06,A-0172SR,0.0072443398416905,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0088547044735975,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-07,A-0172SR,0.0086051676510348,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0099532256341279,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-10,A-0172SR,-0.0148381545389483,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0111179190924326,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-11,A-0172SR,0.0372862145302496,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.00946653772823,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-11-12,A-0172SR,0.0104747543175273,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,-0.0167516922712146,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
2025-12-01,A-0172SR,-0.003269174097356,Company_A_45,A,Europe,0.4027117259847115,0.0229545316139667,Small,manual review,legacy,17,0.0033863437893976,24102940.00088122,2025-10-08,check formatting,original base_pd_hint available
