portfolio_loss,portfolio_loss_rate,number_of_defaults
19988858.71067782,0.02607715355207091,1
6527963.900327631,0.008516279967514305,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
6527963.900327631,0.008516279967514305,1
0.0,0.0,0
0.0,0.0,0
15817893.367368415,0.02063577716874876,1
0.0,0.0,0
4645776.186764995,0.0060608072098738185,1
0.0,0.0,0
0.0,0.0,0
75524157.76903488,0.09852763919842462,5
94496457.07797886,0.12327860519784382,7
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
15059126.182352323,0.019645901324393148,1
42469260.90515482,0.0554047359029599,5
0.0,0.0,0
16501031.235939557,0.021526988185536222,1
0.0,0.0,0
38861855.093935,0.050698570502252925,3
21460157.16435644,0.027996586584883656,2
0.0,0.0,0
53761370.21581584,0.07013624572465756,4
0.0,0.0,0
38268595.95629556,0.049924613877099094,3
16127236.27299897,0.021039341102394585,1
6527963.900327631,0.008516279967514305,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
17788288.43397048,0.023206323864472675,3
0.0,0.0,0
102627674.43625426,0.13388646464025128,8
26636952.078704618,0.03475015255095474,2
11213146.51598996,0.01462849619038723,1
0.0,0.0,0
0.0,0.0,0
6527963.900327631,0.008516279967514305,1
6498766.752669321,0.00847818982371027,1
26790589.17915272,0.03495058511779958,2
32333891.193607368,0.04218229053473862,2
21729781.335477248,0.028348334076495636,2
0.0,0.0,0
0.0,0.0,0
89172586.52353364,0.11633316664384301,7
6527963.900327631,0.008516279967514305,1
0.0,0.0,0
6426429.244889958,0.008383819438425148,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
18423536.62888647,0.024035058759359445,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
17134608.052963268,0.022353542626872776,1
20676196.29634989,0.026973843454336593,3
55885828.90812498,0.07290778142543188,5
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
17439482.571577534,0.02275127717245596,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
116091689.669909,0.1514514090804199,8
0.0,0.0,0
0.0,0.0,0
8367052.55026625,0.010915526358440137,1
0.0,0.0,0
84970224.08193645,0.11085083009541134,8
37086851.857663214,0.04838292894324005,3
0.0,0.0,0
0.0,0.0,0
4645776.186764995,0.0060608072098738185,1
16225909.831936963,0.021168069089579807,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
12954393.14521759,0.016900099405939454,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
16501031.235939557,0.021526988185536222,1
13189289.29646699,0.017206541264055592,1
6527963.900327631,0.008516279967514305,1
39688273.57085219,0.0517767031676925,3
0.0,0.0,0
0.0,0.0,0
15201817.435149617,0.01983205410898133,1
0.0,0.0,0
50092010.120560415,0.06534925573054134,5
0.0,0.0,0
18763324.314525187,0.024478340478528853,1
0.0,0.0,0
4645776.186764995,0.0060608072098738185,1
28484811.150489114,0.03716084069753565,2
0.0,0.0,0
0.0,0.0,0
15059126.182352323,0.019645901324393148,1
0.0,0.0,0
117136718.98914342,0.15281473804374557,9
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
11013053.326687574,0.014367457734030812,1
0.0,0.0,0
0.0,0.0,0
61282970.66224685,0.07994880844461563,5
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
39112359.74086851,0.05102537496058365,5
0.0,0.0,0
57726825.09336149,0.07530951635717882,5
18763324.314525187,0.024478340478528853,1
0.0,0.0,0
24584085.89015299,0.03207201531482936,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
89211950.37147869,0.11638452010639537,7
18423536.62888647,0.024035058759359445,1
40632542.85284671,0.0530085821567576,3
0.0,0.0,0
16283487.2034536,0.02124318363112999,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
15345518.185576417,0.020019523868444168,1
46817984.39099845,0.061078012788711424,3
0.0,0.0,0
0.0,0.0,0
47285322.58373404,0.061687694911593365,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
56448453.5225458,0.07364177272902685,4
54286412.22562702,0.07082120734799527,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
41718640.04615507,0.05442548762856655,3
