year,entity_code,date,date_parsed,default_event,source_flag
2006,A-0172SR,12/31/2006,2006-12-31,0.0,system
2006,A-03PK8Q,12/31/2006,2006-12-31,0.0,system
2006,A-0E88G2,12/31/2006,2006-12-31,0.0,archive
2006,A-2NTLLF,12/31/2006,2006-12-31,0.0,manual
2006,A-5CRVMF,12/31/2006,2006-12-31,0.0,system
2006,A-6IIIXU,12/31/2006,2006-12-31,0.0,system
2006,A-7PF3WZ,12/31/2006,2006-12-31,0.0,system
2006,A-7Y1UPH,12/31/2006,2006-12-31,0.0,system
2006,A-84RXH2,12/31/2006,2006-12-31,0.0,system
2006,A-89F6D0,12/31/2006,2006-12-31,0.0,system
2006,A-94BI3C,12/31/2006,2006-12-31,0.0,system
2006,A-9XOOP3,12/31/2006,2006-12-31,0.0,system
2006,A-C36F0G,12/31/2006,2006-12-31,0.0,manual
2006,A-D1XPP4,12/31/2006,2006-12-31,0.0,system
2006,A-DT5C43,12/31/2006,2006-12-31,0.0,system
2006,A-EX85JQ,12/31/2006,2006-12-31,0.0,manual
2006,A-F8PRQ2,12/31/2006,2006-12-31,0.0,manual
2006,A-FKUFQE,12/31/2006,2006-12-31,0.0,system
2006,A-FVDXWD,12/31/2006,2006-12-31,0.0,system
2006,A-G702PQ,12/31/2006,2006-12-31,0.0,system
2006,A-GT87M2,12/31/2006,2006-12-31,0.0,system
2006,A-H8WKWS,12/31/2006,2006-12-31,0.0,system
2006,A-IJCFPR,12/31/2006,2006-12-31,0.0,system
2006,A-IYWF3H,12/31/2006,2006-12-31,0.0,system
2006,A-J2JZ2Q,12/31/2006,2006-12-31,0.0,system
2006,A-MXON5D,12/31/2006,2006-12-31,0.0,manual
2006,A-O7YD44,12/31/2006,2006-12-31,1.0,system
2006,A-OL6NCQ,12/31/2006,2006-12-31,0.0,system
2006,A-PEJ45W,12/31/2006,2006-12-31,0.0,system
2006,A-PNGYIK,12/31/2006,2006-12-31,0.0,system
2006,A-QIMT1V,12/31/2006,2006-12-31,0.0,manual
2006,A-RAVTFW,12/31/2006,2006-12-31,0.0,system
2006,A-RSPF7A,12/31/2006,2006-12-31,0.0,system
2006,A-RX0P71,12/31/2006,2006-12-31,0.0,system
2006,A-SY2O3L,12/31/2006,2006-12-31,0.0,archive
2006,A-TFKTLD,12/31/2006,2006-12-31,0.0,system
2006,A-TR3J8L,12/31/2006,2006-12-31,0.0,system
2006,A-U7CO9K,12/31/2006,2006-12-31,1.0,system
2006,A-UQSUBF,12/31/2006,2006-12-31,0.0,system
2006,A-UWUTDU,12/31/2006,2006-12-31,0.0,system
2006,A-VN8DME,12/31/2006,2006-12-31,0.0,system
2006,A-VZS47E,12/31/2006,2006-12-31,0.0,system
2006,A-W20E3T,12/31/2006,2006-12-31,0.0,manual
2006,A-W69IIB,12/31/2006,2006-12-31,0.0,system
2006,A-Y21HNQ,12/31/2006,2006-12-31,0.0,archive
2006,A-YDGV2G,12/31/2006,2006-12-31,0.0,system
2006,A-ZF6S7F,12/31/2006,2006-12-31,0.0,system
2006,A-ZL3UTG,12/31/2006,2006-12-31,0.0,system
