entity_code,EAD,booking_date,internal_comment,industry,region,lgd,base_pd_hint,PD,default_threshold
A-W20E3T,26938874.397447303,2025-05-07T00:00:00.000000000,legacy,INDUSTRY_A,Asia,0.5677193578394526,0.0071667077953435,0.0071667077953435,-2.448797124364688
A-ZL3UTG,31154443.006722443,2025-05-14T00:00:00.000000000,review,INDUSTRY_A,Asia,0.4557703606171095,0.0173525364546809,0.0173525364546809,-2.1117829203360747
A-H8WKWS,36314076.04037352,2025-03-05T00:00:00.000000000,,INDUSTRY_A,South America,0.3976169843656488,0.0222303610074104,0.0222303610074104,-2.0097210382825477
A-5CRVMF,14540527.40955621,2025-03-05T00:00:00.000000000,,INDUSTRY_A,Europe,0.371051433725741,0.0187736107702894,0.0187736107702894,-2.0797635975781543
A-89F6D0,8875349.051019402,2025-03-26T00:00:00.000000000,new,INDUSTRY_A,South America,0.4405089339112094,0.0214291306980127,0.0214291306980127,-2.025088657375136
A-SE4QSN,38461633.08329202,2025-06-18T00:00:00.000000000,check formatting,INDUSTRY_A,Europe,0.4552824558048973,0.0256362060348401,0.0256362060348401,-1.9491927364644765
A-7Y1UPH,10404808.080774983,2025-05-07T00:00:00.000000000,,INDUSTRY_A,South America,0.523272203388481,0.0133680364113021,0.0133680364113021,-2.2153496732036864
A-2NTLLF,11918344.378912384,2025-05-21T00:00:00.000000000,check formatting,INDUSTRY_A,South America,0.5299859397528236,0.0147073195901079,0.0147073195901079,-2.177884467487783
A-0E88G2,15196530.8745463,2025-09-24T00:00:00.000000000,review,INDUSTRY_A,Asia,0.5010027048718158,0.0165053478571062,0.0165053478571062,-2.131953180142656
A-GT87M2,23528697.39092006,2025-03-26T00:00:00.000000000,,INDUSTRY_A,North America,0.4557703606171095,0.0266448029521849,0.0266448029521849,-1.9325666353650381
A-YDGV2G,35898894.811192736,2025-12-03T00:00:00.000000000,review,INDUSTRY_A,Asia,0.4188152157475385,0.0131165692622184,0.0131165692622184,-2.2227429417873874
A-C36F0G,31619110.795545343,2025-10-01T00:00:00.000000000,check formatting,INDUSTRY_A,Asia,0.361436345436521,0.0155263649052208,0.0155263649052208,-2.1563963453795596
A-UQSUBF,29785514.38449223,2025-03-05T00:00:00.000000000,check formatting,INDUSTRY_A,europe,0.3807335107445405,0.0248413917729574,0.0248413917729574,-1.9626850308223447
A-RX0P71,11131319.874960128,2025-04-23T00:00:00.000000000,check formatting,INDUSTRY_A,Europe,0.5354777244791231,0.0211643901006858,0.0211643901006858,-2.03027316656937
A-TR3J8L,23528697.39092006,2025-03-05T00:00:00.000000000,review,INDUSTRY_A,North America,0.4010322560752153,0.019296045567918,0.019296045567918,-2.0685100012817834
A-Y21HNQ,21744172.413033728,2025-04-09T00:00:00.000000000,,INDUSTRY_A,Asia,0.483018608927679,0.0221541050150394,0.0221541050150394,-2.0111633076993476
A-VZS47E,10159908.371995503,2025-05-14T00:00:00.000000000,legacy,INDUSTRY_A,South America,0.5100695190985008,0.029103230788234,0.029103230788234,-1.8941397589959315
A-QIMT1V,23528697.39092006,2025-02-12T00:00:00.000000000,review,INDUSTRY_A,SouthAmerica,0.6268833568473738,0.0173528028631696,0.0173528028631696,-2.111776711204445
A-FVDXWD,15791662.138349548,2025-01-01T00:00:00.000000000,,INDUSTRY_A,SouthAmerica,0.4675997347177412,0.0267959378762021,0.0267959378762021,-1.9301207680376407
A-W69IIB,9454666.941516371,2025-06-11T00:00:00.000000000,new,INDUSTRY_A,Europe,0.6202775785948131,0.017,0.017,-2.120071689742151
A-ZVBDSW,24258389.216789015,2025-09-17T00:00:00.000000000,,INDUSTRY_A,Europe,0.5424249628885357,0.0230438073611222,0.0230438073611222,-1.9945900037968056
A-IJCFPR,29675986.878346752,2025-04-23T00:00:00.000000000,new,INDUSTRY_A,Europe,0.5881880171331348,0.0123306929754193,0.0123306929754193,-2.246665918081868
A-0172SR,7447607.101690142,2025-11-12T00:00:00.000000000,review,INDUSTRY_A,Europe,0.4027117259847115,0.0229545316139667,0.0229545316139667,-1.9962284391998404
A-PNGYIK,21839308.56171024,2025-05-14T00:00:00.000000000,review,INDUSTRY_A,South America,0.4966124193590165,0.0286615580270497,0.0286615580270497,-1.9008389081445716
A-9XOOP3,32377391.834372822,2025-11-26T00:00:00.000000000,review,INDUSTRY_A,Asia,0.4209556922747943,0.0180913105300083,0.0180913105300083,-2.0948692048082567
A-03PK8Q,31179654.51333564,2025-03-26T00:00:00.000000000,review,INDUSTRY_A,Asia,0.4851709284813595,0.0226209392140638,0.0226209392140638,-2.00239860474028
A-RSPF7A,33527558.367656395,2025-07-16T00:00:00.000000000,review,INDUSTRY_A,Europe,0.4572467925521397,0.0232196939663842,0.0232196939663842,-1.9913776186060101
A-FKUFQE,20688422.160971247,2025-10-08T00:00:00.000000000,,INDUSTRY_A,NorthAmerica,0.4286890007992836,0.0211608494481312,0.0211608494481312,-2.0303428752539956
A-O7YD44,33719497.892395124,2025-01-22T00:00:00.000000000,review,INDUSTRY_A,South America,0.3611655452468417,0.0176423759627502,0.0176423759627502,-2.1050753229314116
A-DT5C43,13426357.492499432,2025-12-10T00:00:00.000000000,review,INDUSTRY_A,Asia,0.4352110109163791,0.0165953522779802,0.0165953522779802,-2.129768814123962
