portfolio_loss,portfolio_loss_rate,number_of_defaults
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
17510906.764428075,0.025733374403719478,1
0.0,0.0,0
0.0,0.0,0
3909670.548554421,0.005745505779605024,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
24895083.79107252,0.0365848851019544,2
42032512.917082876,0.06176941072073581,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
5960573.837092887,0.008759436634230507,1
22515935.130459286,0.033088577111208974,2
0.0,0.0,0
15330368.52571554,0.0225289368692564,1
0.0,0.0,0
25544969.713105403,0.03753993317435642,2
0.0,0.0,0
0.0,0.0,0
3909670.548554421,0.005745505779605024,1
0.0,0.0,0
15035003.375447877,0.02209487927875578,1
0.0,0.0,0
17510906.764428075,0.025733374403719478,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
10845671.861959005,0.01593839419273454,1
0.0,0.0,0
25187107.45701664,0.03701403217192523,3
18116342.98404292,0.026623100854012195,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
11428295.851894356,0.01679459664251584,1
8868899.02430052,0.01303340267933645,1
15035003.375447877,0.02209487927875578,1
11087639.278564932,0.016293980468693132,1
0.0,0.0,0
0.0,0.0,0
31285056.51099313,0.04597535029278665,3
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
5395283.542444266,0.007928707135485616,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
8034062.9486773275,0.011806558770636948,1
19643818.574260473,0.02886782191754157,2
13629447.393690683,0.020029326717113397,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
26377592.565755688,0.03876352461325713,2
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
51804482.10331185,0.07612993157289816,4
0.0,0.0,0
0.0,0.0,0
8868899.02430052,0.01303340267933645,1
0.0,0.0,0
26176040.387674544,0.03846733106199094,2
7613503.072815756,0.011188519688462607,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
5444546.850261398,0.008001102652261434,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
17510906.764428075,0.025733374403719478,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
13629447.393690683,0.020029326717113397,1
0.0,0.0,0
8034062.9486773275,0.011806558770636948,1
0.0,0.0,0
0.0,0.0,0
11087639.278564932,0.016293980468693132,1
0.0,0.0,0
39773624.112011895,0.05844983212099442,4
0.0,0.0,0
5182259.577388579,0.007615655074647812,1
0.0,0.0,0
2999238.710377632,0.004407569162384103,1
7384177.026644446,0.010851510698234925,1
0.0,0.0,0
0.0,0.0,0
5960573.837092887,0.008759436634230507,1
0.0,0.0,0
58775389.58332166,0.08637411678443652,5
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
12178320.841756614,0.017896805347977003,1
0.0,0.0,0
0.0,0.0,0
42440364.65167154,0.06236877439324974,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
14199271.723999074,0.02086671926528013,1
0.0,0.0,0
66594170.698754825,0.09786430541549594,5
5182259.577388579,0.007615655074647812,1
0.0,0.0,0
15330368.52571554,0.0225289368692564,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
57078582.19254562,0.0838805520327505,5
0.0,0.0,0
5960573.837092887,0.008759436634230507,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
11340343.460939737,0.01666534509451861,1
26418007.80428047,0.03882291733794953,2
0.0,0.0,0
0.0,0.0,0
30312915.900219247,0.044546728768690376,3
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
11803872.454328265,0.017346529986558425,2
37883991.06130255,0.055672897983104604,4
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
11087639.278564932,0.016293980468693132,1
0.0,0.0,0
0.0,0.0,0
12178320.841756614,0.017896805347977003,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
26670711.986655276,0.03919428196377501,2
0.0,0.0,0
0.0,0.0,0
15127461.929963065,0.022230752916379125,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
16806245.69905189,0.024697830826965046,2
0.0,0.0,0
5182259.577388579,0.007615655074647812,1
0.0,0.0,0
17510906.764428075,0.025733374403719478,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
5182259.577388579,0.007615655074647812,1
0.0,0.0,0
0.0,0.0,0
11428295.851894356,0.01679459664251584,1
0.0,0.0,0
0.0,0.0,0
10502839.911227165,0.015434581165549589,1
10502839.911227165,0.015434581165549589,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
17455059.878443703,0.02565130390642021,1
5182259.577388579,0.007615655074647812,1
0.0,0.0,0
0.0,0.0,0
20300156.008410256,0.02983235089113322,3
0.0,0.0,0
0.0,0.0,0
17510906.764428075,0.025733374403719478,1
0.0,0.0,0
28068540.798888862,0.04124847896575923,2
11087639.278564932,0.016293980468693132,1
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
28271281.356740046,0.04154641891553966,3
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
0.0,0.0,0
5960573.837092887,0.008759436634230507,1
7384177.026644446,0.010851510698234925,1
