date,industry,index_return
2023-01-02,Ind. A,-0.0008633673430380077
03/01/2023,Industry A,0.009758528366239964
2023-01-04,Industry A,-0.003480367453911246
2023-01-05,Industry A,0.02055904019565021
2023-01-06,IndustryA,0.009438282716664257
2023-01-09,Industry A,0.0028072778987434876
10/01/2023,Industry A,0.0060640222936076855
2023-01-11,Industry A,-0.006525393625636907
2023-01-12,Industry A,-0.0028247537848402754
2023-01-13,Industry A,-0.003278507385698438
2023-01-16,Industry A,-0.009006604822367684
17/01/2023,Industry A,-0.016122921251106093
2023-01-18,Ind. A,0.006743879143604724
2023-01-19,Ind. A,0.011782045912743991
2023-01-20,Industry A,0.00490413124838908
2023-01-23,Industry A,-0.0008984802330184945
2023-01-24,Industry A,0.026769831389502934
2023-01-25,Industry A,-0.007790532533445236
2023-01-26,industry a,0.0032222529835400616
2023-01-27,Industry A,0.013672139054764864
2023-01-30,IndustryA,-0.013131173142588647
2023-01-31,Industry A,0.007708106859153847
2023-02-01,Industry A,
2023-02-02,IndustryA,7.764661249944643e-05
2023-02-03,industry a,0.002111573405955687
2023-02-06,Industry A,-0.007723601392263868
2023-02-07,Ind. A,0.0059192356078877585
2023-02-08,industry a,-0.009279836246411235
2023-02-09,Industry A,-0.0006375854291456546
2023-02-10,Industry A,-0.01746174821589023
2023-02-13,Industry A,-0.031022659780620267
2023-02-14,IndustryA,-0.005536996693045894
2023-02-15,Industry A,-0.005721618509846509
2023-02-16,Industry A,-0.0045629660948535
17/02/2023,IndustryA,0.009042038371040615
2023-02-20,Industry A,0.01215865861398085
2023-02-21,IndustryA,0.0037351141107005493
2023-02-22,Industry A,0.00812044990148402
2023-02-23,industry a,-0.008961271807727926
2023-02-24,Ind. A,-0.011732021301941432
2023-02-27,Industry A,0.006175075211232543
2023-02-28,Industry A,-0.013275484589285558
2023-03-01,industry a,-0.014496457331806484
2023-03-02,IndustryA,0.03448926107767838
2023-03-03,Industry A,
2023-03-06,Industry A,-0.021522559853041797
2023-03-07,Industry A,-0.012914742893184993
2023-03-08,IndustryA,0.02086831930394779
2023-03-09,Industry A,0.004756250967367804
2023-03-10,IndustryA,-0.001874452989321236
2023-03-13,Ind. A,-0.00018804542434258526
2023-03-14,Industry A,-0.00215205157414019
