entity_code,EAD,booking_date,entity_name,industry,region,lgd,base_pd_hint,portfolio
B-CUJ2V2,32401684.59601034,2025-10-22,Company_B_38,Industry B,North America,0.5625085201248153,0.0437620750599563,Portfolio 2
B-FVUAOK,12382703.597104952,2025-04-02,Company_B_24,Industry B,Europe,0.5189843392837443,0.0248162426031954,Portfolio 2
B-WMAEKB,37108845.62431498,2025-10-15,Company_B_27,Industry B,North America,0.4479411587144589,0.0406882090142755,Portfolio 2
B-0T5M74,34784899.20182575,2025-10-01,Company_B_21,Industry B,Asia,0.5296418000808659,0.0492455131191174,Portfolio 2
B-O2NB6I,34693326.39213783,2025-04-16,Company_B_30,Industry B,Europe,0.4559347578430257,0.0352247537177965,Portfolio 2
B-5BIIQF,12968140.137972496,2025-09-03,Company_B_02,Industry B,South America,0.493086206527386,0.034608127750787795,Portfolio 2
B-KVE4NM,6768759.60275202,2025-04-02,Company_B_22,Industry B,North America,0.448622896022981,0.0287784188073835,Portfolio 2
B-CKUMRG,35359823.88189043,2025-07-09,Company_B_14,Industry B,Northamerica,0.3168593915784876,0.0326507484231694,Portfolio 2
B-MHTAKQ,15703008.00584986,2025-10-22,Company_B_35,Industry B,South America,0.6212518836831601,0.0327334580699937,Portfolio 2
B-9KROIO,26662073.341073405,2025-03-05,Company_B_42,Industry B,Unknown,0.5701663648089567,0.0277544532017155,Portfolio 2
B-6KZVQO,31598840.92952555,2025-04-30,Company_B_32,Industry B,Europe,0.4810076158977743,0.027206283706547,Portfolio 2
B-4Z0VCO,9490264.047889208,2025-10-22,Company_B_34,Industry B,Asia,0.6847825012956046,0.0337807908633653,Portfolio 2
B-JI444W,32329342.408166677,2025-06-18,Company_B_20,Industry B,North America,0.4746622431051985,0.0338857059003395,Portfolio 2
B-91X6SZ,28577598.57109886,2025-12-17,Company_B_25,Industry B,Asia,0.470622107984787,0.0274950688500119,Portfolio 2
B-MUVZTX,30493123.801124316,2025-01-01,Company_B_11,Industry B,North America,0.5619171116975393,0.0326251906128119,Portfolio 2
B-J2ILS4,28577598.57109886,2025-09-24,Company_B_13,Industry B,Asia,0.5612485910550065,0.039659096654194,Portfolio 2
B-SQ4OLC,35683734.8563096,2025-10-29,Company_B_18,Industry B,South America,0.5258228823322695,0.0459530261516893,Portfolio 2
B-TB1OZ6,23461017.052539565,2025-12-03,Company_B_31,Industry B,North America,0.3959413947487566,0.0181105376834935,Portfolio 2
B-JRBLOP,31066982.473586395,2025-02-26,Company_B_43,Industry B,North America,0.397771971835267,0.0343267474415366,Portfolio 2
B-CWABH5,33717708.035051145,2025-12-31,Company_B_06,Industry B,Asia,0.5928296991568485,0.0307649950103388,Portfolio 2
B-WWOGAM,31227350.15946521,2025-05-21,Company_B_23,Industry B,Asia,0.4840351692577983,0.030429586987347,Portfolio 2
B-VQT2JW,15074920.661685389,2025-05-07,Company_B_07,Industry B,South America,0.5361921853928844,0.0442446315886971,Portfolio 2
B-TWSM8S,9124536.531704089,2025-05-07,Company_B_12,Industry B,South America,0.5091520178173208,0.0390654396673085,Portfolio 2
B-QF6194,13341848.527672105,2025-08-20,Company_B_47,Industry B,Asia,0.493086206527386,0.0278945246598982,Portfolio 2
B-HVWXAK,22600622.79431236,2025-08-27,Company_B_37,Industry B,South America,0.5835807896314338,0.037445454357923,Portfolio 2
B-JS2LBB,22684692.280258354,2025-06-25,Company_B_41,Industry B,South America,0.4943045458786471,0.0423442153500894,Portfolio 2
B-Y6J2QG,25392552.226008818,2025-01-22,Company_B_39,Industry B,Europe,0.6498374440296733,0.0317881165479549,Portfolio 2
B-3C5B0M,18828564.31417618,2025-12-31,Company_B_49,Industry B,Asia,0.4443808041150874,0.0260411132965198,Portfolio 2
B-ST9KM6,32541198.350750968,2025-03-19,Company_B_36,Industry B,Asia,0.3384341660679322,0.0383744678486786,Portfolio 2
B-IOC2XD,36960381.26215227,2025-01-29,Company_B_28,Industry B,Europe,0.4363384716897764,0.0387879212756317,Portfolio 2
