entity_code,EAD,booking_date
B-CUJ2V2,32401684.59601034,2025-10-22
B-FVUAOK,12382703.597104952,2025-04-02
B-WMAEKB,37108845.62431498,2025-10-15
B-0T5M74,34784899.20182575,2025-10-01
B-O2NB6I,34693326.39213783,2025-04-16
B-5BIIQF,12968140.137972496,2025-09-03
B-KVE4NM,6768759.60275202,2025-04-02
B-CKUMRG,35359823.88189043,2025-07-09
B-MHTAKQ,15703008.00584986,2025-10-22
B-9KROIO,26662073.341073405,2025-03-05
B-6KZVQO,31598840.92952555,2025-04-30
B-4Z0VCO,9490264.047889208,2025-10-22
B-JI444W,32329342.408166677,2025-06-18
B-91X6SZ,28577598.57109886,2025-12-17
B-MUVZTX,30493123.801124316,2025-01-01
B-J2ILS4,28577598.57109886,2025-09-24
B-SQ4OLC,35683734.8563096,2025-10-29
B-TB1OZ6,23461017.052539565,2025-12-03
B-JRBLOP,31066982.473586395,2025-02-26
B-CWABH5,33717708.035051145,2025-12-31
B-WWOGAM,31227350.15946521,2025-05-21
B-VQT2JW,15074920.661685389,2025-05-07
B-TWSM8S,9124536.531704089,2025-05-07
B-QF6194,13341848.527672105,2025-08-20
B-HVWXAK,22600622.79431236,2025-08-27
B-JS2LBB,22684692.280258354,2025-06-25
B-Y6J2QG,25392552.226008818,2025-01-22
B-3C5B0M,18828564.31417618,2025-12-31
B-ST9KM6,32541198.350750968,2025-03-19
B-IOC2XD,36960381.26215227,2025-01-29
