date,entity_code,stock_return
2023-01-02,A-0172SR,-0.0014008772972524
2023-01-03,A-0172SR,-0.0023967449303788
2023-01-05,A-0172SR,0.024940377702659
2023-01-06,A-0172SR,-0.0229207241712958
2023-01-08,A-0172SR,-0.009326605374612
2023-01-09,A-0172SR,-0.0041981834479365
2023-01-11,A-0172SR,0.0382229855516948
2023-01-12,A-0172SR,0.0244356456764832
2023-02-01,A-0172SR,0.0191286268890226
2023-02-02,A-0172SR,0.013821608101562
2023-02-03,A-0172SR,0.0459035612003673
2023-02-05,A-0172SR,0.0116351565338551
2023-02-06,A-0172SR,-0.0110311030198818
2023-02-08,A-0172SR,-0.0086637794986398
2023-02-10,A-0172SR,-0.0062964559773978
2023-02-11,A-0172SR,-0.0186430915991121
2023-03-01,A-0172SR,0.0126222341649319
2023-03-02,A-0172SR,0.0348083369037462
2023-03-03,A-0172SR,-0.0050041949141976
2023-03-04,A-0172SR,0.0126668078973154
2023-03-05,A-0172SR,0.0049133662052727
2023-03-07,A-0172SR,-0.0447103129112215
2023-03-08,A-0172SR,-0.0094364626582775
2023-03-10,A-0172SR,0.0117526106489135
2023-03-11,A-0172SR,-0.0170627114648878
2023-04-04,A-0172SR,0.0255259583742219
2023-04-05,A-0172SR,0.0082128549916969
2023-04-07,A-0172SR,0.0306301630329177
2023-04-08,A-0172SR,-0.0014796215041739
2023-04-09,A-0172SR,0.02593942586481
2023-04-10,A-0172SR,0.0001417911351793
2023-04-12,A-0172SR,0.0172629623398763
2023-05-01,A-0172SR,0.0179716627248159
2023-05-04,A-0172SR,-0.0120414221886392
2023-05-05,A-0172SR,-0.0372101762989781
2023-05-06,A-0172SR,-0.0263414094087241
2023-05-07,A-0172SR,0.0106209898114812
2023-05-09,A-0172SR,0.0208740672373049
2023-05-10,A-0172SR,0.0018352113411535
2023-05-12,A-0172SR,0.0052151758381556
2023-06-01,A-0172SR,0.0050667342760742
2023-06-02,A-0172SR,0.0086815881796997
2023-06-03,A-0172SR,-0.0484387049505534
2023-06-04,A-0172SR,-0.0134241133166218
2023-06-06,A-0172SR,-0.013124923451192
2023-06-07,A-0172SR,-0.0128257335857622
2023-06-09,A-0172SR,0.0152223022601583
2023-06-10,A-0172SR,0.0059231425384739
2023-06-11,A-0172SR,0.0217364060571306
2023-06-12,A-0172SR,-0.0070356836805012
2023-07-02,A-0172SR,-0.0054417958569795
2023-07-03,A-0172SR,0.0225181720053722
2023-07-04,A-0172SR,0.0034723934488354
2023-07-07,A-0172SR,-0.0155733851077014
2023-07-08,A-0172SR,0.0178982605766142
